src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_parent_text,src_sibling_text,src_activity,target_text,target_id,target_content_desc,target_hint,target_parent_text,target_sibling_text,target_activity,w2v
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,expense value,,,,,expense activity,,current money,,,,today budget,main activity,0.37831819895654917
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,expense value,,,,,expense activity,,daily amount,,,,daily amount,main activity,0.3726927014067769
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,expense value,,,,,expense activity,,image button,,,,,main activity,0.295559708843939
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,,expense value,,,,,expense activity,,,navigate,,,,input activity,0.5669334307312965
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,,,expense activity,note optional,input note,,,,amount,input activity,0.34518266282975674
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,expense value,,,,,expense activity,do,do,,,,note optional,input activity,0.35721682384610176
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2,,expense value,,,,,expense activity,test ad,,,,,,input activity,0.5669334307312965
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,3,,expense value,,,,,expense activity,do,do,,,,,input activity,0.35721682384610176
Expense2,Expense2-Expense3,2,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,2,add description,expense description,,,,,expense activity,note optional,input note,,,,amount,input activity,0.3252442429463069
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,add description,expense description,,,,,expense activity,,image button,,,,,main activity,0.3250881404383108
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,add description,expense description,,,,,expense activity,,,open navigation drawer,,,,main activity,0.5309859979897738
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,add description,expense description,,,,,expense activity,today budget,view,,,,,main activity,0.2871803930029273
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,add description,expense description,,,,,expense activity,,current money,,,,today budget,main activity,0.3620493309572339
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,add description,expense description,,,,,expense activity,,daily amount,,,,daily amount,main activity,0.3353761467151344
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,add description,expense description,,,,,expense activity,,image button,,,,,main activity,0.3250881404383108
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,add description,expense description,,,,,expense activity,amount,input amount,,,,,input activity,0.2994599863886833
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,add description,expense description,,,,,expense activity,,,navigate,,,,input activity,0.5669334307312965
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,add description,expense description,,,,,expense activity,do,do,,,,note optional,input activity,0.3368697091937065
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2,add description,expense description,,,,,expense activity,test ad,,,,,,input activity,0.3448513653129339
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,3,add description,expense description,,,,,expense activity,do,do,,,,,input activity,0.3368697091937065
Expense2,Expense2-Expense3,3,correct,android.widget.Button,android.widget.Button,clickable,clickable,3,,date picker,,,,,expense activity,do,do,,,,,input activity,0.33653804287314415
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0,,date picker,,,,,expense activity,,image button,,,,,main activity,0.3508008187636733
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0,,date picker,,,,,expense activity,,,open navigation drawer,,,,main activity,0.5309859979897738
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,,date picker,,,,,expense activity,today budget,view,,,,,main activity,0.33196275774389505
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,,date picker,,,,,expense activity,,current money,,,,today budget,main activity,0.3201350391609594
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,,date picker,,,,,expense activity,daily amount,view,,,,,main activity,0.33196275774389505
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,,date picker,,,,,expense activity,,daily amount,,,,daily amount,main activity,0.33567114267498255
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0,,date picker,,,,,expense activity,,image button,,,,,main activity,0.3508008187636733
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1,,date picker,,,,,expense activity,amount,input amount,,,,,input activity,0.373233325779438
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,1,,date picker,,,,,expense activity,,,navigate,,,,input activity,0.5669334307312965
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1,,date picker,,,,,expense activity,note optional,input note,,,,amount,input activity,0.3453256841748953
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.Button,clickable,clickable,1,,date picker,,,,,expense activity,do,do,,,,note optional,input activity,0.33653804287314415
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,2,,date picker,,,,,expense activity,test ad,,,,,,input activity,0.5669334307312965
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,3,,date picker,,,,,expense activity,,input note,,,,amount,input activity,0.3453256841748953
Expense4,Expense4-Expense2,0,correct,android.widget.Button,android.widget.ImageButton,clickable,clickable,0,add income,btn add income,,,,,activity record main,,fab,,,,,main activity,0.5808882713317871
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,add income,btn add income,,,,,activity record main,expense,,,,,,main activity,0.6907363831996918
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,add income,btn add income,,,,,activity record main,total month expense,total month description,,,,,main activity,0.4743626167376836
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.Button,clickable,clickable,0,add income,btn add income,,,,,activity record main,,total month,,,,,main activity,0.5936015360057354
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1,add income,btn add income,,,,,activity record main,,expense value,,,,,expense activity,0.3994207167997956
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.TextView,clickable,label,1,add income,btn add income,,,,,activity record main,expense,,,,,,expense activity,0.45622939709573984
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,1,add income,btn add income,,,,,activity record main,,,navigate,,,,expense activity,0.5309859979897738
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1,add income,btn add income,,,,,activity record main,add description,expense description,,,,,expense activity,0.4235586275657018
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.Button,clickable,clickable,1,add income,btn add income,,,,,activity record main,,date picker,,,,,expense activity,0.31756401900202036
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.TextView,clickable,clickable,1,add income,btn add income,,,,,activity record main,food,,,,,,expense activity,0.35671424213796854
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.Button,clickable,clickable,1,add income,btn add income,,,,,activity record main,save,save expense,,,,,expense activity,0.3908360706021388
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,3,add income,btn add income,,,,,activity record main,gra,expense description,,,,,expense activity,0.2630661490062873
Expense4,Expense4-Expense2,2,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,et price,,,price,,activity record add,,expense value,,,,,expense activity,0.4206494949758053
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,et price,,,price,,activity record add,,fab,,,,,main activity,0.2920041177421808
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,et price,,,price,,activity record add,expense,,,,,,main activity,0.3749127984046936
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,et price,,,price,,activity record add,total month expense,total month description,,,,,main activity,0.2866459774474303
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,,et price,,,price,,activity record add,,total month,,,,,main activity,0.32841471396386623
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,1,,et price,,,price,,activity record add,expense,,,,,,expense activity,0.38823046162724495
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,,et price,,,price,,activity record add,,,navigate,,,,expense activity,0.5733524188399315
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,et price,,,price,,activity record add,add description,expense description,,,,,expense activity,0.25367698601136607
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,et price,,,price,,activity record add,,date picker,,,,,expense activity,0.36723371408879757
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,et price,,,price,,activity record add,save,save expense,,,,,expense activity,0.24615748381863037
Expense4,Expense4-Expense2,4,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,2,,et title,,,title,,activity record add,add description,expense description,,,,,expense activity,0.2737662270665169
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,et title,,,title,,activity record add,,fab,,,,,main activity,0.297961737960577
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,et title,,,title,,activity record add,expense,,,,,,main activity,0.2931715901941061
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,et title,,,title,,activity record add,total month expense,total month description,,,,,main activity,0.24126911287506422
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,,et title,,,title,,activity record add,,total month,,,,,main activity,0.26798490434885025
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,et title,,,title,,activity record add,,expense value,,,,,expense activity,0.3108429368585348
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.TextView,fillable,label,1,,et title,,,title,,activity record add,expense,,,,,,expense activity,0.30648925341665745
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,,et title,,,title,,activity record add,,,navigate,,,,expense activity,0.5733524188399315
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,et title,,,title,,activity record add,,date picker,,,,,expense activity,0.3279974218457937
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,et title,,,title,,activity record add,save,save expense,,,,,expense activity,0.22014985047280788
Expense4,Expense4-Expense2,6,correct,android.widget.TextView,android.widget.Button,clickable,clickable,3,,action do,add,,,,activity record add,save,save expense,,,,,expense activity,0.3484310107305646
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.ImageButton,clickable,clickable,0,,action do,add,,,,activity record add,,fab,,,,,main activity,0.3136686570942402
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.TextView,clickable,label,0,,action do,add,,,,activity record add,expense,,,,,,main activity,0.5467170923948288
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.TextView,clickable,label,0,,action do,add,,,,activity record add,total month expense,total month description,,,,,main activity,0.32461075857281685
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.Button,clickable,clickable,0,,action do,add,,,,activity record add,,total month,,,,,main activity,0.31276465952396393
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.EditText,clickable,fillable,1,,action do,add,,,,activity record add,,expense value,,,,,expense activity,0.3337326170876622
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.TextView,clickable,label,1,,action do,add,,,,activity record add,expense,,,,,,expense activity,0.5733524188399315
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.ImageButton,clickable,clickable,1,,action do,add,,,,activity record add,,,navigate,,,,expense activity,0.37212569639086723
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.EditText,clickable,fillable,1,,action do,add,,,,activity record add,add description,expense description,,,,,expense activity,0.338342959061265
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.Button,clickable,clickable,1,,action do,add,,,,activity record add,,date picker,,,,,expense activity,0.30941722891293466
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.TextView,clickable,clickable,1,,action do,add,,,,activity record add,food,,,,,,expense activity,0.5733524188399315
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.EditText,clickable,fillable,3,,action do,add,,,,activity record add,gra,expense description,,,,,expense activity,0.338342959061265
Expense2,Expense2-Expense4,0,correct,android.widget.ImageButton,android.widget.Button,clickable,clickable,0,,fab,,,,,main activity,add expense,btn add expense,,,,,activity record main,0.5808882713317871
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,,main activity,record,drawer layout,,,,,activity record main,0.5877956748008728
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,,main activity,week,,,,,,activity record main,0.9999999701976776
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0,,fab,,,,,main activity,,drawer layout,open navigation drawer,,,,activity record main,0.5877956748008728
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,,main activity,short summary,list view,,,,,activity record main,0.5493945702910423
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,,main activity,oct,tv period,,,,short summary,activity record main,0.579238586127758
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,,main activity,total income,list view,,,,oct,activity record main,0.5493945702910423
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,,main activity,non,tv total income,,,,total income,activity record main,0.579238586127758
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,,main activity,total expense,list view,,,,non,activity record main,0.5493945702910423
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,,main activity,non,tv total expense,,,,total expense,activity record main,0.579238586127758
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,,main activity,non,tv total,,,,non,activity record main,0.579238586127758
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,0,,fab,,,,,main activity,add income,btn add income,,,,,activity record main,0.5808882713317871
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,,main activity,,et price,,,price,,activity record add,0.2920041177421808
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,1,,fab,,,,,main activity,add expense,,,,,,activity record add,0.5467170923948288
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,1,,fab,,,,,main activity,,action do,add,,,,activity record add,0.3136686570942402
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1,,fab,,,,,main activity,,,navigate,,,,activity record add,0.5467170923948288
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,1,,fab,,,,,main activity,date,,,,,,activity record add,0.5467170923948288
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,1,,fab,,,,,main activity,time,,,,,,activity record add,0.5467170923948288
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,1,,fab,,,,,main activity,account,,,,,,activity record add,0.5467170923948288
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,1,,fab,,,,,main activity,,tv date,,,,,activity record add,0.3525971472263336
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,1,,fab,,,,,main activity,,tv time,,,,,activity record add,0.3525971472263336
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,1,,fab,,,,,main activity,default,,,,,,activity record add,0.5467170923948288
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,,main activity,,et title,,,title,,activity record add,0.297961737960577
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,,main activity,,et category,,,category,,activity record add,0.30087343975901604
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,2,,fab,,,,,main activity,,et price,,,price,,activity record add,0.2920041177421808
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,3,,fab,,,,,main activity,restaurant,et title,,,title,,activity record add,0.297961737960577
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,4,,fab,,,,,main activity,ok,button,,,,,activity record add,0.33112066611647606
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,4,,fab,,,,,main activity,oct,date picker month,,,,,activity record add,0.3151191584765911
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,4,,fab,,,,,main activity,,date picker day,,,,oct,activity record add,0.32797492668032646
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,4,,fab,,,,,main activity,,date picker year,,,,,activity record add,0.31803493201732635
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,4,,fab,,,,,main activity,cancel,button,,,,,activity record add,0.33112066611647606
Expense2,Expense2-Expense4,1,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,,,expense activity,,et price,,,price,,activity record add,0.4206494949758053
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,,expense value,,,,,expense activity,add expense,btn add expense,,,,,activity record main,0.5540525177493691
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,expense value,,,,,expense activity,record,drawer layout,,,,,activity record main,0.3127271505072713
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,,,expense activity,week,,,,,,activity record main,0.5309859979897738
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,expense value,,,,,expense activity,,drawer layout,open navigation drawer,,,,activity record main,0.3127271505072713
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,,,expense activity,short summary,list view,,,,,activity record main,0.3470882000401616
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,,,expense activity,oct,tv period,,,,short summary,activity record main,0.31793483551882673
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,,,expense activity,total income,list view,,,,oct,activity record main,0.3470882000401616
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,,,expense activity,non,tv total income,,,,total income,activity record main,0.44122024718672037
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,,,expense activity,total expense,list view,,,,non,activity record main,0.3470882000401616
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,,,expense activity,non,tv total expense,,,,total expense,activity record main,0.5958520481362939
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,,,expense activity,non,tv total,,,,non,activity record main,0.3573163766413927
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,,expense value,,,,,expense activity,add income,btn add income,,,,,activity record main,0.3994207167997956
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,1,,expense value,,,,,expense activity,add expense,,,,,,activity record add,0.5733524188399315
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,1,,expense value,,,,,expense activity,,action do,add,,,,activity record add,0.3337326170876622
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,,expense value,,,,,expense activity,,,navigate,,,,activity record add,0.5733524188399315
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,1,,expense value,,,,,expense activity,,tv date,,,,,activity record add,0.3461623461917043
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,1,,expense value,,,,,expense activity,,tv time,,,,,activity record add,0.346960344541003
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,,,expense activity,,et title,,,title,,activity record add,0.3108429368585348
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,,,expense activity,,et category,,,category,,activity record add,0.34647610783576965
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,2,,expense value,,,,,expense activity,,et price,,,price,,activity record add,0.4206494949758053
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,4,,expense value,,,,,expense activity,ok,button,,,,,activity record add,0.32175978645682335
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,4,,expense value,,,,,expense activity,oct,date picker month,,,,,activity record add,0.3366977833211422
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,4,,expense value,,,,,expense activity,,date picker day,,,,oct,activity record add,0.346041995100677
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,4,,expense value,,,,,expense activity,,date picker year,,,,,activity record add,0.34686596132814884
Expense2,Expense2-Expense4,2,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,2,add description,expense description,,,,,expense activity,,et title,,,title,,activity record add,0.2737662270665169
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,add description,expense description,,,,,expense activity,add expense,btn add expense,,,,,activity record main,0.5170697370000804
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,add description,expense description,,,,,expense activity,record,drawer layout,,,,,activity record main,0.2557514601697524
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,expense activity,week,,,,,,activity record main,0.32430237624794245
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,add description,expense description,,,,,expense activity,,drawer layout,open navigation drawer,,,,activity record main,0.3257947703823447
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,expense activity,short summary,list view,,,,,activity record main,0.3378391992300749
