src_app,target_app,src_event_index,target_label,src_class,target_class,src_type,target_type,target_event_index,src_text,src_id,src_content_desc,src_hint,src_atm_neighbor,src_file_name,target_text,target_id,target_content_desc,target_hint,target_atm_neighbor,target_file_name,w2v
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,expense value,,,money,,,image button,,,,plusbutton,0.922070932
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,expense value,,,money,,,,open navigation drawer,,,,0.75044319
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,expense value,,,money,,today budget,view,,,,,1.149558789
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,expense value,,,money,,,current money,,,,,1.01009092
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,expense value,,,money,,,daily amount,,,,,1.128702039
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,expense value,,,money,,,image button,,,,minusbutton,0.922070932
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,,expense value,,,money,,,,navigate,,,,0.420982441
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,money,,note optional,input note,,,,,0.428489745
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,expense value,,,money,,do,do,,,,,0.472749585
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2,,expense value,,,money,,test ad,,,,,,0.811150566
Expense2,Expense2-Expense3,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,3,,expense value,,,money,,do,do,,,,,0.472749585
Expense2,Expense2-Expense3,2,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,2,add description,expense description,,,,,note optional,input note,,,,,1.415973544
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,add description,expense description,,,,,,image button,,,,plusbutton,1.015978128
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,add description,expense description,,,,,,,open navigation drawer,,,,1.205873191
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,add description,expense description,,,,,today budget,view,,,,,1.213978529
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,add description,expense description,,,,,,current money,,,,,0.969523045
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,add description,expense description,,,,,,daily amount,,,,,0.992535058
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,add description,expense description,,,,,,image button,,,,minusbutton,1.015978128
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,add description,expense description,,,,,amount,input amount,,,,,1.314058244
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,add description,expense description,,,,,,,navigate,,,,0.695816696
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,add description,expense description,,,,,do,do,,,,,0.555455923
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,2,add description,expense description,,,,,test ad,,,,,,1.046616167
Expense2,Expense2-Expense3,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,3,add description,expense description,,,,,do,do,,,,,0.555455923
Expense2,Expense2-Expense3,3,correct,android.widget.Button,android.widget.Button,clickable,clickable,3,,date picker,,,,,do,do,,,,,0.5649804
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0,,date picker,,,,,,image button,,,,plusbutton,0.996842927
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0,,date picker,,,,,,,open navigation drawer,,,,1.016288111
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,,date picker,,,,,today budget,view,,,,,1.254424042
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,,date picker,,,,,,current money,,,,,1.032410467
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,,date picker,,,,,daily amount,view,,,,,1.159386295
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,,date picker,,,,,,daily amount,,,,,1.159386295
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0,,date picker,,,,,,image button,,,,minusbutton,0.996842927
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1,,date picker,,,,,amount,input amount,,,,,1.393913984
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,1,,date picker,,,,,,,navigate,,,,0.660200483
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1,,date picker,,,,,note optional,input note,,,,,1.327929914
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.Button,clickable,clickable,1,,date picker,,,,,do,do,,,,,0.5649804
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,2,,date picker,,,,,test ad,,,,,,0.945414492
Expense2,Expense2-Expense3,3,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,3,,date picker,,,,,,input note,,,,,1.327929914
Expense4,Expense4-Expense2,0,correct,android.widget.Button,android.widget.ImageButton,clickable,clickable,0,add income,btn add income,,,,,,fab,,,,ic add,1.431738174
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,add income,btn add income,,,,,expense,,,,,,0.78360194
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,add income,btn add income,,,,,total month expense,total month description,,,,,1.256939322
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.Button,clickable,clickable,0,add income,btn add income,,,,,,total month,,,,,1.114698359
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1,add income,btn add income,,,,,,expense value,,,money,,0.660933256
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.TextView,clickable,label,1,add income,btn add income,,,,,expense,,,,,,0.78360194
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,1,add income,btn add income,,,,,,,navigate,,,,0.695816696
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,1,add income,btn add income,,,,,add description,expense description,,,,,1.450823039
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.Button,clickable,clickable,1,add income,btn add income,,,,,,date picker,,,,,1.148772579
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.TextView,clickable,clickable,1,add income,btn add income,,,,,food,,,,,,0.600449204
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.Button,clickable,clickable,1,add income,btn add income,,,,,save,save expense,,,,,1.381207287
Expense4,Expense4-Expense2,0,wrong,android.widget.Button,android.widget.EditText,clickable,fillable,3,add income,btn add income,,,,,gra,expense description,,,,,1.327164531
Expense4,Expense4-Expense2,2,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,et price,,,date,,,expense value,,,money,,0.397987187
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,et price,,,date,,,fab,,,,ic add,1.254967028
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,et price,,,date,,expense,,,,,,0.400409818
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,et price,,,date,,total month expense,total month description,,,,,0.965243635
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,,et price,,,date,,,total month,,,,,0.910997647
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,1,,et price,,,date,,expense,,,,,,0.400409818
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,,et price,,,date,,,,navigate,,,,0.350153348
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,et price,,,date,,add description,expense description,,,,,0.592733681
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,et price,,,date,,,date picker,,,,,0.859369576
Expense4,Expense4-Expense2,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,et price,,,date,,save,save expense,,,,,0.673465481
Expense4,Expense4-Expense2,4,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,2,,et title,,,,,add description,expense description,,,,,1.059016049
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,et title,,,,,,fab,,,,ic add,1.376542926
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,et title,,,,,expense,,,,,,0.429112619
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,et title,,,,,total month expense,total month description,,,,,0.98024708
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,,et title,,,,,,total month,,,,,0.829447979
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,et title,,,,,,expense value,,,money,,0.344524384
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.TextView,fillable,label,1,,et title,,,,,expense,,,,,,0.429112619
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,,et title,,,,,,,navigate,,,,0.596058995
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,et title,,,,,,date picker,,,,,0.983393902
Expense4,Expense4-Expense2,4,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,1,,et title,,,,,save,save expense,,,,,0.819453853
Expense4,Expense4-Expense2,6,correct,android.widget.TextView,android.widget.Button,clickable,clickable,3,,action do,add,,,,save,save expense,,,,,0.937406248
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.ImageButton,clickable,clickable,0,,action do,add,,,,,fab,,,,ic add,1.379115701
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.TextView,clickable,label,0,,action do,add,,,,expense,,,,,,0.468641251
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.TextView,clickable,label,0,,action do,add,,,,total month expense,total month description,,,,,0.955563354
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.Button,clickable,clickable,0,,action do,add,,,,,total month,,,,,0.951215172
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.EditText,clickable,fillable,1,,action do,add,,,,,expense value,,,money,,0.504669785
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.TextView,clickable,label,1,,action do,add,,,,expense,,,,,,0.468641251
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.ImageButton,clickable,clickable,1,,action do,add,,,,,,navigate,,,,0.695816696
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.EditText,clickable,fillable,1,,action do,add,,,,add description,expense description,,,,,1.163664222
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.Button,clickable,clickable,1,,action do,add,,,,,date picker,,,,,1.083538681
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.TextView,clickable,clickable,1,,action do,add,,,,food,,,,,,0.600449204
Expense4,Expense4-Expense2,6,wrong,android.widget.TextView,android.widget.EditText,clickable,fillable,3,,action do,add,,,,gra,expense description,,,,,1.008807778
Expense2,Expense2-Expense4,0,correct,android.widget.ImageButton,android.widget.Button,clickable,clickable,0,,fab,,,,ic add,add expense,btn add expense,,,,,1.36236493
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,0,,fab,,,,ic add,record,drawer layout,,,,,1.13779242
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,ic add,week,,,,,,0.485677296
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,0,,fab,,,,ic add,,drawer layout,open navigation drawer,,,,1.517629722
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,ic add,short summary,list view,,,,,1.209318513
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,ic add,oct,tv period,,,,,0.897953716
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,ic add,total income,list view,,,,,1.209318513
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,ic add,non,tv total income,,,,,1.472535834
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,ic add,total expense,list view,,,,,1.209318513
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,ic add,non,tv total expense,,,,,1.238251314
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,0,,fab,,,,ic add,non,tv total,,,,,0.984280023
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,0,,fab,,,,ic add,add income,btn add income,,,,,1.431738174
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,ic add,,et price,,,date,,0.524764538
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,1,,fab,,,,ic add,add expense,,,,,,1.36236493
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,1,,fab,,,,ic add,,action do,add,,,,1.379115701
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.ImageButton,clickable,clickable,1,,fab,,,,ic add,,,navigate,,,,0.652299982
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,1,,fab,,,,ic add,date,,,,,,0.472288084
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,1,,fab,,,,ic add,time,,,,,,0.551489639
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,1,,fab,,,,ic add,account,,,,,,0.65326032
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,1,,fab,,,,ic add,,tv date,,,,,1.006816185
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,1,,fab,,,,ic add,,tv time,,,,,0.936934984
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,1,,fab,,,,ic add,default,,,,,,0.518009824
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,ic add,,et title,,,,,1.52949214
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,1,,fab,,,,ic add,,et category,,,,,1.493721366
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,2,,fab,,,,ic add,,et price,,,,,1.394407809
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.EditText,clickable,fillable,3,,fab,,,,ic add,restaurant,et title,,,,,1.52949214
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,4,,fab,,,,ic add,ok,button,,,,,0.587460583
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,4,,fab,,,,ic add,oct,date picker month,,,,,1.479649642
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,label,4,,fab,,,,ic add,,date picker day,,,,,1.507991579
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.TextView,clickable,clickable,4,,fab,,,,ic add,,date picker year,,,,,1.57879023
Expense2,Expense2-Expense4,0,wrong,android.widget.ImageButton,android.widget.Button,clickable,clickable,4,,fab,,,,ic add,cancel,button,,,,,0.587460583
Expense2,Expense2-Expense4,1,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,money,,,et price,,,date,,0.397987187
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,,expense value,,,money,,add expense,btn add expense,,,,,1.329865757
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,,expense value,,,money,,record,drawer layout,,,,,0.857128161
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,money,,week,,,,,,0.458648783
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,,expense value,,,money,,,drawer layout,open navigation drawer,,,,0.857128161
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,money,,short summary,list view,,,,,1.037693721
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,money,,oct,tv period,,,,,0.744394433
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,money,,total income,list view,,,,,1.263491625
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,money,,non,tv total income,,,,,1.263491625
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,money,,total expense,list view,,,,,1.458249879
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,money,,non,tv total expense,,,,,1.458249879
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,,expense value,,,money,,non,tv total,,,,,0.784982532
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,,expense value,,,money,,add income,btn add income,,,,,1.135107502
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,1,,expense value,,,money,,add expense,,,,,,1.329865757
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,1,,expense value,,,money,,,action do,add,,,,0.928659698
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,,expense value,,,money,,,,navigate,,,,0.420982441
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,1,,expense value,,,money,,,tv date,,,,,0.723065776
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,1,,expense value,,,money,,,tv time,,,,,0.770637918
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,money,,,et title,,,,,0.344524384
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,,expense value,,,money,,,et category,,,,,0.452626914
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,2,,expense value,,,money,,,et price,,,,,0.407193273
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,4,,expense value,,,money,,ok,button,,,,,0.461582315
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,4,,expense value,,,money,,oct,date picker month,,,,,1.085035729
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,label,4,,expense value,,,money,,,date picker day,,,,,0.994537058
Expense2,Expense2-Expense4,1,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,4,,expense value,,,money,,,date picker year,,,,,0.985834712
Expense2,Expense2-Expense4,2,correct,android.widget.EditText,android.widget.EditText,fillable,fillable,2,add description,expense description,,,,,,et title,,,,,1.059016049
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,add description,expense description,,,,,add expense,btn add expense,,,,,1.389206332
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,0,add description,expense description,,,,,record,drawer layout,,,,,1.124966043
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,week,,,,,,0.454360628
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,0,add description,expense description,,,,,,drawer layout,open navigation drawer,,,,1.205873191
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,short summary,list view,,,,,1.172660333
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,oct,tv period,,,,,0.810427952
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,total income,list view,,,,,1.198424131
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,non,tv total income,,,,,1.198424131
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,total expense,list view,,,,,1.393182385
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,non,tv total expense,,,,,1.393182385
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,0,add description,expense description,,,,,non,tv total,,,,,0.911742228
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,0,add description,expense description,,,,,add income,btn add income,,,,,1.450823039
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,add description,expense description,,,,,,et price,,,date,,0.592733681
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,1,add description,expense description,,,,,add expense,,,,,,1.389206332
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,1,add description,expense description,,,,,,action do,add,,,,1.0472978
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.ImageButton,fillable,clickable,1,add description,expense description,,,,,,,navigate,,,,0.695816696
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,1,add description,expense description,,,,,,tv date,,,,,0.918905658
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,1,add description,expense description,,,,,,tv time,,,,,0.820275843
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,1,add description,expense description,,,,,,et category,,,,,1.100214392
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.EditText,fillable,fillable,2,add description,expense description,,,,,,et price,,,,,0.837102711
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.Button,fillable,clickable,4,add description,expense description,,,,,ok,button,,,,,0.587460583
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,4,add description,expense description,,,,,oct,date picker month,,,,,1.165396214
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,label,4,add description,expense description,,,,,,date picker day,,,,,1.165396214
Expense2,Expense2-Expense4,2,wrong,android.widget.EditText,android.widget.TextView,fillable,clickable,4,add description,expense description,,,,,,date picker year,,,,,1.165396214
Expense2,Expense2-Expense4,3,correct,android.widget.Button,android.widget.TextView,clickable,clickable,3,,date picker,,,,,,tv date,,,,,1.455064863
Expense2,Expense2-Expense4,3,wrong,android.widget.Button,android.widget.Button,clickable,clickable,0,,date picker,,,,,add expense,btn add expense,,,,,1.039515263
Expense2,Expense2-Expense4,3,wrong,android.widget.Button,android.widget.TextView,clickable,label,0,,date picker,,,,,record,drawer layout,,,,,1.060282668
Expense2,Expense2-Expense4,3,wrong,android.widget.Button,android.widget.TextView,clickable,clickable,0,,date picker,,,,,week,,,,,,0.674120611
Expense2,Expense2-Expense4,3,wrong,android.widget.Button,android.widget.ImageButton,clickable,clickable,0,,date picker,,,,,,drawer layout,open navigation drawer,,,,1.060282668
